AGNO;RBD;DGV_RBD;NOM_RBD;COD_REG_RBD;COD_COM_RBD;NOM_COM_RBD;COD_DEPE;COD_DEPE2;RURAL_RBD;COD_ENSE;COD_ENSE2;APR_HOM_TO;APR_MUJ_TO;REP_HOM_TO;REP_MUJ_TO;RET_HOM_TO;RET_MUJ_TO;TRA_HOM_TO;TRA_MUJ_TO;PROM_ASIS_APR_HOM;PROM_ASIS_APR_MUJ;PROM_ASIS_APR;PROM_ASIS_REP_HOM;PROM_ASIS_REP_MUJ;PROM_ASIS_REP;PROM_ASIS
2018;6497;1;COMPLEJO EDUCACIONAL CLAUDIO ARRAU LEON;9;9102;CARAHUE;6;5;0;363;6;23;16;1;0;17;8;7;2;90,04;90,50;90,23;80,00;;80,00;89,98
2018;6497;1;COMPLEJO EDUCACIONAL CLAUDIO ARRAU LEON;9;9102;CARAHUE;6;5;0;510;7;78;16;6;0;6;2;5;4;90,72;94,75;91,40;79,17;;79,17;90,67
2018;6497;1;COMPLEJO EDUCACIONAL CLAUDIO ARRAU LEON;9;9102;CARAHUE;6;5;0;610;7;0;61;0;1;0;3;0;2;;89,07;89,07;;60,00;60,00;88,60
2018;6497;1;COMPLEJO EDUCACIONAL CLAUDIO ARRAU LEON;9;9102;CARAHUE;6;5;0;710;7;13;2;0;0;1;0;2;0;87,77;85,00;87,40;;;;87,40
2019;6497;1;COMPLEJO EDUCACIONAL CLAUDIO ARRAU LEON;9;9102;CARAHUE;6;5;0;110;2;14;15;0;0;0;1;0;2;95,36;94,20;94,76;;;;94,76
2019;6497;1;COMPLEJO EDUCACIONAL CLAUDIO ARRAU LEON;9;9102;CARAHUE;6;5;0;165;3;2;0;0;0;1;1;0;0;90,50;;90,50;;;;90,50
2019;6497;1;COMPLEJO EDUCACIONAL CLAUDIO ARRAU LEON;9;9102;CARAHUE;6;5;0;310;5;239;264;2;1;4;4;19;26;94,77;94,11;94,43;86,50;94,00;89,00;94,39
2019;6497;1;COMPLEJO EDUCACIONAL CLAUDIO ARRAU LEON;9;9102;CARAHUE;6;5;0;363;6;23;27;1;1;10;6;1;4;89,87;92,74;91,42;83,00;85,00;84,00;91,13
2019;6497;1;COMPLEJO EDUCACIONAL CLAUDIO ARRAU LEON;9;9102;CARAHUE;6;5;0;510;7;79;19;2;0;4;0;7;1;95,30;96,16;95,47;86,00;;86,00;95,28
2019;6497;1;COMPLEJO EDUCACIONAL CLAUDIO ARRAU LEON;9;9102;CARAHUE;6;5;0;610;7;0;53;0;1;0;3;0;5;;91,85;91,85;;89,00;89,00;91,80
2019;6497;1;COMPLEJO EDUCACIONAL CLAUDIO ARRAU LEON;9;9102;CARAHUE;6;5;0;710;7;27;2;1;0;1;0;2;1;89,81;85,00;89,48;59,00;;59,00;88,47
2017;6499;8;ROMILIO ADRIAZOLA;9;9102;CARAHUE;2;1;0;110;2;84;82;0;0;0;0;4;2;91,86;92,32;92,08;;;;92,08
2018;6499;8;ROMILIO ADRIAZOLA;9;9102;CARAHUE;6;5;0;110;2;103;101;0;0;0;0;3;1;92,46;92,53;92,50;;;;92,50
2019;6499;8;ROMILIO ADRIAZOLA;9;9102;CARAHUE;6;5;0;110;2;106;107;0;0;0;0;8;6;94,01;94,12;94,07;;;;94,07
2017;6500;5;ESCUELA DARIO SALAS DIAZ;9;9102;CARAHUE;2;1;0;110;2;256;278;5;1;0;0;25;20;91,67;92,27;91,98;76,00;87,00;77,83;91,82
2018;6500;5;COMPLEJO EDUCACIONAL DARÍO SALAS;9;9102;CARAHUE;6;5;0;110;2;307;319;6;2;1;0;12;18;92,06;93,03;92,55;81,17;77,00;80,13;92,40
2018;6500;5;COMPLEJO EDUCACIONAL DARÍO SALAS;9;9102;CARAHUE;6;5;0;310;5;96;106;6;8;1;0;9;7;91,64;89,13;90,32;69,17;82,38;76,71;89,44
2019;6500;5;COMPLEJO EDUCACIONAL DARÍO SALAS;9;9102;CARAHUE;6;5;0;110;2;320;302;4;0;1;0;15;21;92,26;93,28;92,76;77,25;;77,25;92,66
2019;6500;5;COMPLEJO EDUCACIONAL DARÍO SALAS;9;9102;CARAHUE;6;5;0;310;5;166;154;9;6;1;0;9;17;90,41;90,84;90,62;79,89;78,00;79,13;90,10
2017;6501;3;ESCUELA BASICA KIM RUKA;9;9102;CARAHUE;2;1;0;110;2;265;233;9;3;1;1;17;9;94,15;94,70;94,41;89,78;88,67;89,50;94,29
2018;6501;3;ESCUELA BASICA KIM RUKA;9;9102;CARAHUE;6;5;0;110;2;260;251;4;0;0;0;29;27;93,85;94,38;94,11;88,75;;88,75;94,07
2019;6501;3;ESCUELA BASICA KIM RUKA;9;9102;CARAHUE;6;5;0;110;2;245;241;0;0;0;0;27;12;93,18;93,58;93,38;;;;93,38
