RBD,ESTABLECIMIENTO,COMUNA,AREA,PRUEBA,NIVEL,PUNTAJE
6358,ESCUELA BASICA ESTACION TOLTEN,TEODORO SCHMIDT,RURAL,LENGUAJE,3B,544
6358,ESCUELA BASICA ESTACION TOLTEN,TEODORO SCHMIDT,RURAL,LENGUAJE,2B,633
6358,ESCUELA BASICA ESTACION TOLTEN,TEODORO SCHMIDT,RURAL,LENGUAJE,1B,0
6358,ESCUELA BASICA ESTACION TOLTEN,TEODORO SCHMIDT,RURAL,MATEMÁTICAS,3B,553
6358,ESCUELA BASICA ESTACION TOLTEN,TEODORO SCHMIDT,RURAL,MATEMÁTICAS,1B,556
6358,ESCUELA BASICA ESTACION TOLTEN,TEODORO SCHMIDT,RURAL,MATEMÁTICAS,2B,603
6361,ESCUELA DE CAYCHAYEN,TEODORO SCHMIDT,RURAL,LENGUAJE,1B,592
6361,ESCUELA DE CAYCHAYEN,TEODORO SCHMIDT,RURAL,LENGUAJE,2B,0
6361,ESCUELA DE CAYCHAYEN,TEODORO SCHMIDT,RURAL,LENGUAJE,3B,0
6361,ESCUELA DE CAYCHAYEN,TEODORO SCHMIDT,RURAL,MATEMÁTICAS,1B,577
6361,ESCUELA DE CAYCHAYEN,TEODORO SCHMIDT,RURAL,MATEMÁTICAS,2B,0
6361,ESCUELA DE CAYCHAYEN,TEODORO SCHMIDT,RURAL,MATEMÁTICAS,3B,0
6370,ESCUELA LA CONCEPCION,TOLTÉN,RURAL,LENGUAJE,1B,608
6370,ESCUELA LA CONCEPCION,TOLTÉN,RURAL,LENGUAJE,2B,0
6370,ESCUELA LA CONCEPCION,TOLTÉN,RURAL,LENGUAJE,3B,0
6370,ESCUELA LA CONCEPCION,TOLTÉN,RURAL,MATEMÁTICAS,1B,547
6370,ESCUELA LA CONCEPCION,TOLTÉN,RURAL,MATEMÁTICAS,2B,0
6370,ESCUELA LA CONCEPCION,TOLTÉN,RURAL,MATEMÁTICAS,3B,0
6371,ESCUELA ANTU-LAFQUEN,TOLTÉN,RURAL,LENGUAJE,3B,504
6371,ESCUELA ANTU-LAFQUEN,TOLTÉN,RURAL,LENGUAJE,1B,526
6371,ESCUELA ANTU-LAFQUEN,TOLTÉN,RURAL,LENGUAJE,2B,542
6371,ESCUELA ANTU-LAFQUEN,TOLTÉN,RURAL,MATEMÁTICAS,1B,543
6371,ESCUELA ANTU-LAFQUEN,TOLTÉN,RURAL,MATEMÁTICAS,3B,543
6371,ESCUELA ANTU-LAFQUEN,TOLTÉN,RURAL,MATEMÁTICAS,2B,567
6373,ESCUELA PORMA,TEODORO SCHMIDT,RURAL,LENGUAJE,2B,492
6373,ESCUELA PORMA,TEODORO SCHMIDT,RURAL,LENGUAJE,1B,524
6373,ESCUELA PORMA,TEODORO SCHMIDT,RURAL,LENGUAJE,3B,566
6373,ESCUELA PORMA,TEODORO SCHMIDT,RURAL,MATEMÁTICAS,1B,486
6373,ESCUELA PORMA,TEODORO SCHMIDT,RURAL,MATEMÁTICAS,2B,561
6373,ESCUELA PORMA,TEODORO SCHMIDT,RURAL,MATEMÁTICAS,3B,585
6374,ESCUELA BASICA RURAL FLOR DEL VALLE,TOLTÉN,RURAL,LENGUAJE,2B,633
6374,ESCUELA BASICA RURAL FLOR DEL VALLE,TOLTÉN,RURAL,LENGUAJE,1B,0
6374,ESCUELA BASICA RURAL FLOR DEL VALLE,TOLTÉN,RURAL,LENGUAJE,3B,0
6374,ESCUELA BASICA RURAL FLOR DEL VALLE,TOLTÉN,RURAL,MATEMÁTICAS,2B,624
