AGNO,RBD,NOM_RBD,COD_COM_RBD,NOM_COM_RBD,RURAL_RBD,ESTADO_ESTAB,COD_ENSE,MAT_HOM_TOT,MAT_MUJ_TOT,MAT_SI_TOT,MAT_TOTAL,CUR_SIM_TOT,CUR_COMB
2020,6510,ESCUELA BASICA PAILACOYAN,9102,CARAHUE,1,1,110,2,0,0,2,1,1
2021,6510,ESCUELA BASICA PAILACOYAN,9102,CARAHUE,1,1,110,1,0,0,1,,
2022,6510,ESCUELA BASICA PAILACOYAN,9102,CARAHUE,1,1,110,,,,5,,
2016,6511,ESCUELA BASICA LAS DAMAS,9102,CARAHUE,1,3,,0,0,0,0,0,0
2017,6511,ESCUELA BASICA LAS DAMAS,9102,CARAHUE,1,3,0,,,,0,,
2020,6511,ESCUELA BASICA LAS DAMAS,9102,CARAHUE,1,3,0,,,,0,,
2016,6512,ESCUELA VILLA LAS ARAUCARIAS,9102,CARAHUE,1,1,110,2,4,0,6,5,0
2017,6512,ESCUELA VILLA LAS ARAUCARIAS,9102,CARAHUE,1,1,110,4,3,0,7,4,0
2018,6512,ESCUELA VILLA LAS ARAUCARIAS,9102,CARAHUE,1,1,110,2,0,0,2,,1
2019,6512,ESCUELA VILLA LAS ARAUCARIAS,9102,CARAHUE,1,1,110,2,2,0,4,,1
2020,6512,ESCUELA VILLA LAS ARAUCARIAS,9102,CARAHUE,1,1,110,2,2,0,4,,1
2021,6512,ESCUELA VILLA LAS ARAUCARIAS,9102,CARAHUE,1,1,110,4,2,0,6,,
2022,6512,ESCUELA VILLA LAS ARAUCARIAS,9102,CARAHUE,1,1,110,,,,4,,
2016,6513,ESCUELA BASICA CAMAR,9102,CARAHUE,1,3,,0,0,0,0,0,0
2017,6513,ESCUELA BASICA CAMAR,9102,CARAHUE,1,3,0,,,,0,,
2020,6513,ESCUELA BASICA CAMAR,9102,CARAHUE,1,3,0,,,,0,,
2016,6514,ESCUELA QUIRIPIO,9102,CARAHUE,1,3,,0,0,0,0,0,0
2017,6514,ESCUELA QUIRIPIO,9102,CARAHUE,1,3,0,,,,0,,
2018,6514,ESCUELA QUIRIPIO,9102,CARAHUE,1,3,0,,,,0,,
2019,6514,ESCUELA QUIRIPIO,9102,CARAHUE,1,3,0,,,,0,,
2020,6514,ESCUELA QUIRIPIO,9102,CARAHUE,1,3,0,,,,0,,
2016,6515,ESCUELA CATRIPULLI,9102,CARAHUE,1,1,110,7,5,0,12,0,1
2017,6515,ESCUELA CATRIPULLI,9102,CARAHUE,1,1,110,4,5,0,9,,1
2018,6515,ESCUELA CATRIPULLI,9102,CARAHUE,1,1,110,1,1,0,2,,1
2019,6515,ESCUELA CATRIPULLI,9102,CARAHUE,1,1,110,1,2,0,3,,1
2020,6515,ESCUELA CATRIPULLI,9102,CARAHUE,1,1,110,1,1,0,2,,1
2021,6515,ESCUELA CATRIPULLI,9102,CARAHUE,1,1,110,1,2,0,3,,
2022,6515,ESCUELA CATRIPULLI,9102,CARAHUE,1,1,110,,,,3,,
2016,6516,ESCUELA LAS MINAS,9102,CARAHUE,1,3,,0,0,0,0,0,0
2017,6516,ESCUELA LAS MINAS,9102,CARAHUE,1,3,0,,,,0,,
2020,6516,ESCUELA LAS MINAS,9102,CARAHUE,1,3,0,,,,0,,
2016,6518,ESCUELA BASICA EL MANZANO,9102,CARAHUE,1,1,110,8,5,0,13,0,3
2017,6518,ESCUELA BASICA EL MANZANO,9102,CARAHUE,1,1,110,5,4,0,9,1,2
2018,6518,ESCUELA BASICA EL MANZANO,9102,CARAHUE,1,1,110,1,0,0,1,,1
2019,6518,ESCUELA BASICA EL MANZANO,9102,CARAHUE,1,1,110,4,0,0,4,,2
2020,6518,ESCUELA BASICA EL MANZANO,9102,CARAHUE,1,1,110,2,0,0,2,,2
2021,6518,ESCUELA BASICA EL MANZANO,9102,CARAHUE,1,1,110,2,3,0,5,,
2022,6518,ESCUELA BASICA EL MANZANO,9102,CARAHUE,1,1,110,,,,7,,
2016,6519,ESCUELA BASICA QUILLEN,9102,CARAHUE,1,2,,0,0,0,0,0,0
2017,6519,ESCUELA BASICA QUILLEN,9102,CARAHUE,1,2,0,,,,0,,
2018,6519,ESCUELA BASICA QUILLEN,9102,CARAHUE,1,2,0,,,,0,,
2019,6519,ESCUELA BASICA QUILLEN,9102,CARAHUE,1,2,0,,,,0,,
2020,6519,ESCUELA BASICA QUILLEN,9102,CARAHUE,1,2,0,,,,0,,
2016,6521,ESCUELA BASICA CAMARONES,9102,CARAHUE,1,1,110,1,1,0,2,1,0
2017,6521,ESCUELA BASICA CAMARONES,9102,CARAHUE,1,1,110,1,2,0,3,2,0
2018,6521,ESCUELA BASICA CAMARONES,9102,CARAHUE,1,1,110,0,2,0,2,,1
2019,6521,ESCUELA BASICA CAMARONES,9102,CARAHUE,1,1,110,0,2,0,2,2,0
2020,6521,ESCUELA BASICA CAMARONES,9102,CARAHUE,1,1,110,0,2,0,2,1,0
2021,6521,ESCUELA BASICA CAMARONES,9102,CARAHUE,1,1,110,1,2,0,3,,
2022,6521,ESCUELA BASICA CAMARONES,9102,CARAHUE,1,1,110,,,,2,,
2016,6522,ESCUELA BASICA PUYANGUE,9102,CARAHUE,1,1,110,2,4,0,6,0,1
2017,6522,ESCUELA BASICA PUYANGUE,9102,CARAHUE,1,1,110,2,2,0,4,2,1
2018,6522,ESCUELA BASICA PUYANGUE,9102,CARAHUE,1,1,110,1,0,0,1,1,0
2019,6522,ESCUELA BASICA PUYANGUE,9102,CARAHUE,1,1,110,1,0,0,1,1,0
2020,6522,ESCUELA BASICA PUYANGUE,9102,CARAHUE,1,1,110,1,0,0,1,,1
2021,6522,ESCUELA BASICA PUYANGUE,9102,CARAHUE,1,1,110,2,2,0,4,,
2022,6522,ESCUELA BASICA PUYANGUE,9102,CARAHUE,1,1,110,,,,3,,
2016,6523,ESCUELA BASICA CHOMIO,9102,CARAHUE,1,1,110,1,0,0,1,1,0
2017,6523,ESCUELA BASICA CHOMIO,9102,CARAHUE,1,1,110,1,0,0,1,1,0
2018,6523,ESCUELA BASICA CHOMIO,9102,CARAHUE,1,1,110,1,1,0,2,2,0
2019,6523,ESCUELA BASICA CHOMIO,9102,CARAHUE,1,1,110,1,1,0,2,2,0
2020,6523,ESCUELA BASICA CHOMIO,9102,CARAHUE,1,1,110,1,1,0,2,2,0
2021,6523,ESCUELA BASICA CHOMIO,9102,CARAHUE,1,1,110,1,2,0,3,,
2022,6523,ESCUELA BASICA CHOMIO,9102,CARAHUE,1,1,110,,,,3,,
2016,6524,ESCUELA CULLINCO,9102,CARAHUE,1,1,110,5,2,0,7,0,1
2017,6524,ESCUELA CULLINCO,9102,CARAHUE,1,1,110,4,2,0,6,4,0
2018,6524,ESCUELA CULLINCO,9102,CARAHUE,1,1,110,2,0,0,2,2,0
2019,6524,ESCUELA CULLINCO,9102,CARAHUE,1,1,110,2,0,0,2,,1
2020,6524,ESCUELA CULLINCO,9102,CARAHUE,1,1,110,2,0,0,2,,1
2021,6524,ESCUELA CULLINCO,9102,CARAHUE,1,1,110,2,2,0,4,,
2022,6524,ESCUELA CULLINCO,9102,CARAHUE,1,1,110,,,,3,,
2016,6525,ESC. BASICA CARLOS PALMA LAFUENTE,9102,CARAHUE,1,1,110,6,0,0,6,0,2
2017,6525,ESC. BASICA CARLOS PALMA LAFUENTE,9102,CARAHUE,1,1,110,6,0,0,6,,2
2018,6525,ESC. BASICA CARLOS PALMA LAFUENTE,9102,CARAHUE,1,1,110,4,0,0,4,,2
2019,6525,ESC. BASICA CARLOS PALMA LAFUENTE,9102,CARAHUE,1,1,110,4,0,0,4,,1
2020,6525,ESC. BASICA CARLOS PALMA LAFUENTE,9102,CARAHUE,1,1,110,3,0,0,3,1,1
2021,6525,ESC. BASICA CARLOS PALMA LAFUENTE,9102,CARAHUE,1,1,110,1,0,0,1,,
2016,6526,ESCUELA BASICA EL PERAL,9102,CARAHUE,1,1,110,1,3,0,4,4,0
2017,6526,ESCUELA BASICA EL PERAL,9102,CARAHUE,1,1,110,1,1,0,2,2,0
2018,6526,ESCUELA BASICA EL PERAL,9102,CARAHUE,1,1,110,2,1,0,3,,1
2019,6526,ESCUELA BASICA EL PERAL,9102,CARAHUE,1,1,110,1,2,0,3,1,1
2020,6526,ESCUELA BASICA EL PERAL,9102,CARAHUE,1,1,110,1,1,0,2,,1
2021,6526,ESCUELA BASICA EL PERAL,9102,CARAHUE,1,1,110,2,1,0,3,,
2016,6527,ESCUELA BASICA ALTO YUPEHUE,9102,CARAHUE,1,1,110,10,6,0,16,0,1
2017,6527,ESCUELA BASICA ALTO YUPEHUE,9102,CARAHUE,1,1,110,5,7,0,12,,1
2018,6527,ESCUELA BASICA ALTO YUPEHUE,9102,CARAHUE,1,1,110,1,0,0,1,,1
2019,6527,ESCUELA BASICA ALTO YUPEHUE,9102,CARAHUE,1,1,110,1,0,0,1,,1
2020,6527,ESCUELA BASICA ALTO YUPEHUE,9102,CARAHUE,1,1,110,1,0,0,1,,1
2021,6527,ESCUELA BASICA ALTO YUPEHUE,9102,CARAHUE,1,1,110,1,0,0,1,,
2016,6528,ESCUELA BASICA BAJO YUPEHUE,9102,CARAHUE,1,1,110,18,32,0,50,2,3
2017,6528,ESCUELA BASICA BAJO YUPEHUE,9102,CARAHUE,1,1,110,20,27,0,47,2,3
2018,6528,ESCUELA BASICA BAJO YUPEHUE,9102,CARAHUE,1,1,110,18,32,0,50,2,3
2019,6528,ESCUELA BASICA BAJO YUPEHUE,9102,CARAHUE,1,1,110,16,25,0,41,2,3
2020,6528,ESCUELA BASICA BAJO YUPEHUE,9102,CARAHUE,1,1,110,19,22,0,41,2,3
2021,6528,ESCUELA BASICA BAJO YUPEHUE,9102,CARAHUE,1,1,110,25,22,0,47,,
2022,6528,ESCUELA BASICA BAJO YUPEHUE,9102,CARAHUE,1,1,110,,,,51,,
2016,6529,ESCUELA BASICA MATTE Y SANCHEZ,9102,CARAHUE,1,1,110,3,1,0,4,3,0
2017,6529,ESCUELA BASICA MATTE Y SANCHEZ,9102,CARAHUE,1,1,110,3,1,0,4,3,0
2018,6529,ESCUELA BASICA MATTE Y SANCHEZ,9102,CARAHUE,1,1,110,2,0,0,2,2,0
2019,6529,ESCUELA BASICA MATTE Y SANCHEZ,9102,CARAHUE,1,1,110,2,0,0,2,2,0
2020,6529,ESCUELA BASICA MATTE Y SANCHEZ,9102,CARAHUE,1,1,110,3,0,0,3,1,1
2021,6529,ESCUELA BASICA MATTE Y SANCHEZ,9102,CARAHUE,1,1,110,3,0,0,3,,
2022,6529,ESCUELA BASICA MATTE Y SANCHEZ,9102,CARAHUE,1,1,110,,,,7,,
2016,6530,ESC. BASICA PROF.GUILLERMO SALGADO CARRILLO,9102,CARAHUE,1,1,110,2,3,0,5,3,0
2017,6530,ESC. BASICA PROF.GUILLERMO SALGADO CARRILLO,9102,CARAHUE,1,1,110,4,3,0,7,4,0
2018,6530,ESC. BASICA PROF.GUILLERMO SALGADO CARRILLO,9102,CARAHUE,1,1,110,2,3,0,5,3,0
2019,6530,ESC. BASICA PROF.GUILLERMO SALGADO CARRILLO,9102,CARAHUE,1,1,110,2,0,0,2,2,0
2020,6530,ESC. BASICA PROF.GUILLERMO SALGADO CARRILLO,9102,CARAHUE,1,2,0,,,,0,,
2016,6531,ESCUELA BASICA CHANQUIN,9102,CARAHUE,1,3,,0,0,0,0,0,0
2017,6531,ESCUELA BASICA CHANQUIN,9102,CARAHUE,1,3,0,,,,0,,
2020,6531,ESCUELA BASICA CHANQUIN,9102,CARAHUE,1,3,0,,,,0,,
2016,6532,ESCUELA BASICA LAS SELVAS,9102,CARAHUE,1,3,,0,0,0,0,0,0
2017,6532,ESCUELA BASICA LAS SELVAS,9102,CARAHUE,1,3,0,,,,0,,
2020,6532,ESCUELA BASICA LAS SELVAS,9102,CARAHUE,1,3,0,,,,0,,
2016,6533,ESCUELA BASICA SAN JUAN DE TROVOLHUE,9102,CARAHUE,1,3,,0,0,0,0,0,0
2017,6533,ESCUELA BASICA SAN JUAN DE TROVOLHUE,9102,CARAHUE,1,3,0,,,,0,,
2020,6533,ESCUELA BASICA SAN JUAN DE TROVOLHUE,9102,CARAHUE,1,3,0,,,,0,,
2016,6535,ESCUELA BASICA LOS LAURELES,9102,CARAHUE,1,2,,0,0,0,0,0,0
2017,6535,ESCUELA BASICA LOS LAURELES,9102,CARAHUE,1,2,0,,,,0,,
2018,6535,ESCUELA BASICA LOS LAURELES,9102,CARAHUE,1,2,0,,,,0,,
2019,6535,ESCUELA BASICA LOS LAURELES,9102,CARAHUE,1,2,0,,,,0,,
2020,6535,ESCUELA BASICA LOS LAURELES,9102,CARAHUE,1,2,0,,,,0,,
2016,6536,ESCUELA AMULEY,9102,CARAHUE,1,2,,0,0,0,0,0,0
2017,6536,ESCUELA AMULEY,9102,CARAHUE,1,2,0,,,,0,,
2018,6536,ESCUELA AMULEY,9102,CARAHUE,1,2,0,,,,0,,
2019,6536,ESCUELA AMULEY,9102,CARAHUE,1,2,0,,,,0,,
2020,6536,ESCUELA AMULEY,9102,CARAHUE,1,2,0,,,,0,,
2016,6537,ESCUELA BASICA COIPUCO,9102,CARAHUE,1,3,,0,0,0,0,0,0
2017,6537,ESCUELA BASICA COIPUCO,9102,CARAHUE,1,3,0,,,,0,,
2020,6537,ESCUELA BASICA COIPUCO,9102,CARAHUE,1,3,0,,,,0,,
2016,6538,ESCUELA BASICA MACHACO CHICO,9102,CARAHUE,1,3,,0,0,0,0,0,0
2017,6538,ESCUELA BASICA MACHACO CHICO,9102,CARAHUE,1,3,0,,,,0,,
2020,6538,ESCUELA BASICA MACHACO CHICO,9102,CARAHUE,1,3,0,,,,0,,
2016,6539,ESCUELA BASICA COI COI,9102,CARAHUE,1,1,110,11,10,0,21,1,2
2017,6539,ESCUELA BASICA COI COI,9102,CARAHUE,1,1,110,8,9,0,17,1,2
