RBD,ESTAB,COMUNA,AREA,NIVEL,SECTOR,EJE,VALOR
6352,ESCUELA AMANECER DE VILLA LOS BOLDOS,TOLTÉN,URBANO,4° Básico,LENGUAJE,INFORMACION EXPLICITA,0.67
6353,ESCUELA SAN PEDRO,TOLTÉN,RURAL,2° Básico,LENGUAJE,INFORMACION EXPLICITA,0.25
6353,ESCUELA SAN PEDRO,TOLTÉN,RURAL,3° Básico,LENGUAJE,INFORMACION EXPLICITA,0.5
6353,ESCUELA SAN PEDRO,TOLTÉN,RURAL,4° Básico,LENGUAJE,INFORMACION EXPLICITA,0.56
6354,ESCUELA LA CASCADA,TOLTÉN,RURAL,1° Básico,LENGUAJE,INFORMACION EXPLICITA,1
6354,ESCUELA LA CASCADA,TOLTÉN,RURAL,2° Básico,LENGUAJE,INFORMACION EXPLICITA,1
6354,ESCUELA LA CASCADA,TOLTÉN,RURAL,4° Básico,LENGUAJE,INFORMACION EXPLICITA,0.89
6358,ESCUELA BASICA ESTACION TOLTEN,TEODORO SCHMIDT,RURAL,1° Básico,LENGUAJE,INFORMACION EXPLICITA,0.61
6358,ESCUELA BASICA ESTACION TOLTEN,TEODORO SCHMIDT,RURAL,2° Básico,LENGUAJE,INFORMACION EXPLICITA,0.63
6358,ESCUELA BASICA ESTACION TOLTEN,TEODORO SCHMIDT,RURAL,3° Básico,LENGUAJE,INFORMACION EXPLICITA,0.38
6358,ESCUELA BASICA ESTACION TOLTEN,TEODORO SCHMIDT,RURAL,4° Básico,LENGUAJE,INFORMACION EXPLICITA,0.44
6361,ESCUELA DE CAYCHAYEN,TEODORO SCHMIDT,RURAL,2° Básico,LENGUAJE,INFORMACION EXPLICITA,0.75
6370,ESCUELA LA CONCEPCION,TOLTÉN,RURAL,2° Básico,LENGUAJE,INFORMACION EXPLICITA,0.75
6371,ESCUELA ANTU-LAFQUEN,TOLTÉN,RURAL,1° Básico,LENGUAJE,INFORMACION EXPLICITA,0.89
6371,ESCUELA ANTU-LAFQUEN,TOLTÉN,RURAL,2° Básico,LENGUAJE,INFORMACION EXPLICITA,0.5
6371,ESCUELA ANTU-LAFQUEN,TOLTÉN,RURAL,3° Básico,LENGUAJE,INFORMACION EXPLICITA,0.54
6371,ESCUELA ANTU-LAFQUEN,TOLTÉN,RURAL,4° Básico,LENGUAJE,INFORMACION EXPLICITA,0.56
6373,ESCUELA PORMA,TEODORO SCHMIDT,RURAL,1° Básico,LENGUAJE,INFORMACION EXPLICITA,0.76
6373,ESCUELA PORMA,TEODORO SCHMIDT,RURAL,2° Básico,LENGUAJE,INFORMACION EXPLICITA,0.58
6373,ESCUELA PORMA,TEODORO SCHMIDT,RURAL,3° Básico,LENGUAJE,INFORMACION EXPLICITA,0.5
6373,ESCUELA PORMA,TEODORO SCHMIDT,RURAL,4° Básico,LENGUAJE,INFORMACION EXPLICITA,0.67
6374,ESCUELA BASICA RURAL FLOR DEL VALLE,TOLTÉN,RURAL,2° Básico,LENGUAJE,INFORMACION EXPLICITA,
6397,LICEO MUNICIPAL BARROS ARANA,TEODORO SCHMIDT,URBANO,1° Básico,LENGUAJE,INFORMACION EXPLICITA,0.6
6397,LICEO MUNICIPAL BARROS ARANA,TEODORO SCHMIDT,URBANO,2° Básico,LENGUAJE,INFORMACION EXPLICITA,0.6
6397,LICEO MUNICIPAL BARROS ARANA,TEODORO SCHMIDT,URBANO,3° Básico,LENGUAJE,INFORMACION EXPLICITA,0.61
6397,LICEO MUNICIPAL BARROS ARANA,TEODORO SCHMIDT,URBANO,4° Básico,LENGUAJE,INFORMACION EXPLICITA,0.6
6398,COMPLEJO EDUCACIONAL NUEVA ALBORADA,TEODORO SCHMIDT,URBANO,2° Básico,LENGUAJE,INFORMACION EXPLICITA,0.69
6398,COMPLEJO EDUCACIONAL NUEVA ALBORADA,TEODORO SCHMIDT,URBANO,3° Básico,LENGUAJE,INFORMACION EXPLICITA,0.58
6398,COMPLEJO EDUCACIONAL NUEVA ALBORADA,TEODORO SCHMIDT,URBANO,4° Básico,LENGUAJE,INFORMACION EXPLICITA,0.58
6399,ESCUELA HORIZONTES,TEODORO SCHMIDT,URBANO,1° Básico,LENGUAJE,INFORMACION EXPLICITA,0.87
6399,ESCUELA HORIZONTES,TEODORO SCHMIDT,URBANO,2° Básico,LENGUAJE,INFORMACION EXPLICITA,0.94
6399,ESCUELA HORIZONTES,TEODORO SCHMIDT,URBANO,3° Básico,LENGUAJE,INFORMACION EXPLICITA,0.78
6399,ESCUELA HORIZONTES,TEODORO SCHMIDT,URBANO,4° Básico,LENGUAJE,INFORMACION EXPLICITA,0.98
6400,ESCUELA ISLA LLICAN,TEODORO SCHMIDT,RURAL,1° Básico,LENGUAJE,INFORMACION EXPLICITA,0.86
6400,ESCUELA ISLA LLICAN,TEODORO SCHMIDT,RURAL,2° Básico,LENGUAJE,INFORMACION EXPLICITA,0.25
6400,ESCUELA ISLA LLICAN,TEODORO SCHMIDT,RURAL,3° Básico,LENGUAJE,INFORMACION EXPLICITA,0.66
6400,ESCUELA ISLA LLICAN,TEODORO SCHMIDT,RURAL,4° Básico,LENGUAJE,INFORMACION EXPLICITA,0.56
6407,ESCUELA NOHUALHUE,TEODORO SCHMIDT,RURAL,2° Básico,LENGUAJE,INFORMACION EXPLICITA,1
6407,ESCUELA NOHUALHUE,TEODORO SCHMIDT,RURAL,3° Básico,LENGUAJE,INFORMACION EXPLICITA,0.83
6407,ESCUELA NOHUALHUE,TEODORO SCHMIDT,RURAL,4° Básico,LENGUAJE,INFORMACION EXPLICITA,0.56
6410,ESCUELA MALALHUE,TEODORO SCHMIDT,RURAL,4° Básico,LENGUAJE,INFORMACION EXPLICITA,0.61
6411,ESCUELA PUYEHUE,TEODORO SCHMIDT,RURAL,1° Básico,LENGUAJE,INFORMACION EXPLICITA,0.93
6411,ESCUELA PUYEHUE,TEODORO SCHMIDT,RURAL,2° Básico,LENGUAJE,INFORMACION EXPLICITA,0.88
6411,ESCUELA PUYEHUE,TEODORO SCHMIDT,RURAL,3° Básico,LENGUAJE,INFORMACION EXPLICITA,0.96
6411,ESCUELA PUYEHUE,TEODORO SCHMIDT,RURAL,4° Básico,LENGUAJE,INFORMACION EXPLICITA,0.78
6413,ESCUELA DE RUCA-CURA,TEODORO SCHMIDT,RURAL,2° Básico,LENGUAJE,INFORMACION EXPLICITA,
6413,ESCUELA DE RUCA-CURA,TEODORO SCHMIDT,RURAL,3° Básico,LENGUAJE,INFORMACION EXPLICITA,0.31
6413,ESCUELA DE RUCA-CURA,TEODORO SCHMIDT,RURAL,4° Básico,LENGUAJE,INFORMACION EXPLICITA,0.33
6415,ESCUELA LOS TRONCOS,TEODORO SCHMIDT,RURAL,2° Básico,LENGUAJE,INFORMACION EXPLICITA,0.88
6415,ESCUELA LOS TRONCOS,TEODORO SCHMIDT,RURAL,4° Básico,LENGUAJE,INFORMACION EXPLICITA,0.44
6454,ESCUELA BASICA COLLICO RANCO,SAAVEDRA,RURAL,1° Básico,LENGUAJE,INFORMACION EXPLICITA,0.71
6454,ESCUELA BASICA COLLICO RANCO,SAAVEDRA,RURAL,2° Básico,LENGUAJE,INFORMACION EXPLICITA,0.79
6454,ESCUELA BASICA COLLICO RANCO,SAAVEDRA,RURAL,3° Básico,LENGUAJE,INFORMACION EXPLICITA,0.44
6454,ESCUELA BASICA COLLICO RANCO,SAAVEDRA,RURAL,4° Básico,LENGUAJE,INFORMACION EXPLICITA,0.59
6455,ESCUELA BASICA BARTOLO LLANCALEO,SAAVEDRA,RURAL,1° Básico,LENGUAJE,INFORMACION EXPLICITA,0.76
6455,ESCUELA BASICA BARTOLO LLANCALEO,SAAVEDRA,RURAL,2° Básico,LENGUAJE,INFORMACION EXPLICITA,0.58
6455,ESCUELA BASICA BARTOLO LLANCALEO,SAAVEDRA,RURAL,3° Básico,LENGUAJE,INFORMACION EXPLICITA,0.65
