RBD,COMUNA,AREA,NIVEL,SECTOR,EJE,VALOR
6639,NUEVA IMPERIAL,RURAL,2° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,75"
6349,TOLTÉN,URBANO,3° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,79"
6350,TOLTÉN,URBANO,3° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,7"
6351,TOLTÉN,RURAL,3° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,69"
6352,TOLTÉN,URBANO,3° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,71"
6353,TOLTÉN,RURAL,3° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,63"
6354,TOLTÉN,RURAL,3° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,75"
6358,TEODORO SCHMIDT,RURAL,3° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,56"
6371,TOLTÉN,RURAL,3° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,38"
6373,TEODORO SCHMIDT,RURAL,3° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,56"
6397,TEODORO SCHMIDT,URBANO,3° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,77"
6398,TEODORO SCHMIDT,URBANO,3° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,5"
6399,TEODORO SCHMIDT,URBANO,3° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,77"
6400,TEODORO SCHMIDT,RURAL,3° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,5"
6407,TEODORO SCHMIDT,RURAL,3° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,63"
6410,TEODORO SCHMIDT,RURAL,3° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,75"
6411,TEODORO SCHMIDT,RURAL,3° Básico,LENGUAJE,INFORMACION_EXPLICITA,1
6413,TEODORO SCHMIDT,RURAL,3° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,88"
6415,TEODORO SCHMIDT,RURAL,3° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,88"
6454,SAAVEDRA,RURAL,3° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,84"
6455,SAAVEDRA,RURAL,3° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,58"
6456,SAAVEDRA,RURAL,3° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,38"
6457,SAAVEDRA,URBANO,3° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,73"
6458,SAAVEDRA,RURAL,3° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,31"
6459,SAAVEDRA,RURAL,3° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,71"
6495,SAAVEDRA,RURAL,3° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,77"
6499,CARAHUE,URBANO,3° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,74"
6500,CARAHUE,URBANO,3° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,69"
6501,CARAHUE,URBANO,3° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,76"
6502,CARAHUE,URBANO,3° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,66"
6504,CARAHUE,RURAL,3° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,66"
6512,CARAHUE,RURAL,3° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,75"
6521,CARAHUE,RURAL,3° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,75"
6523,CARAHUE,RURAL,3° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,88"
6524,CARAHUE,RURAL,3° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,5"
6526,CARAHUE,RURAL,3° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,75"
6528,CARAHUE,RURAL,3° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,78"
6529,CARAHUE,RURAL,3° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,63"
6587,NUEVA IMPERIAL,URBANO,3° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,69"
6593,NUEVA IMPERIAL,RURAL,3° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,74"
6602,NUEVA IMPERIAL,RURAL,3° Básico,LENGUAJE,INFORMACION_EXPLICITA,1
6605,NUEVA IMPERIAL,RURAL,3° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,44"
6608,NUEVA IMPERIAL,RURAL,3° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,54"
6611,NUEVA IMPERIAL,RURAL,3° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,71"
6623,NUEVA IMPERIAL,RURAL,3° Básico,LENGUAJE,INFORMACION_EXPLICITA,"0,75"
