RBD,ESTABLECIMIENTO,COMUNA,SECTOR,NIVEL,PUNTAJE
6373,ESCUELA PORMA,TEODORO SCHMIDT,Lenguaje,2° Básico,547
6373,ESCUELA PORMA,TEODORO SCHMIDT,Lenguaje,3° Básico,529
6373,ESCUELA PORMA,TEODORO SCHMIDT,Lenguaje,4° Básico,567
6397,LICEO MUNICIPAL BARROS ARANA,TEODORO SCHMIDT,Lenguaje,1° Básico,531
6397,LICEO MUNICIPAL BARROS ARANA,TEODORO SCHMIDT,Lenguaje,2° Básico,531
6397,LICEO MUNICIPAL BARROS ARANA,TEODORO SCHMIDT,Lenguaje,3° Básico,572
6397,LICEO MUNICIPAL BARROS ARANA,TEODORO SCHMIDT,Lenguaje,4° Básico,562
6398,ESCUELA NUEVA ALBORADA,TEODORO SCHMIDT,Lenguaje,1° Básico,
6398,ESCUELA NUEVA ALBORADA,TEODORO SCHMIDT,Lenguaje,2° Básico,559
6398,ESCUELA NUEVA ALBORADA,TEODORO SCHMIDT,Lenguaje,3° Básico,557
6398,ESCUELA NUEVA ALBORADA,TEODORO SCHMIDT,Lenguaje,4° Básico,563
6399,ESCUELA HORIZONTES,TEODORO SCHMIDT,Lenguaje,1° Básico,575
6399,ESCUELA HORIZONTES,TEODORO SCHMIDT,Lenguaje,2° Básico,622
6399,ESCUELA HORIZONTES,TEODORO SCHMIDT,Lenguaje,3° Básico,596
6399,ESCUELA HORIZONTES,TEODORO SCHMIDT,Lenguaje,4° Básico,635
6400,ESCUELA ISLA LLICAN,TEODORO SCHMIDT,Lenguaje,1° Básico,556
6400,ESCUELA ISLA LLICAN,TEODORO SCHMIDT,Lenguaje,2° Básico,481
6400,ESCUELA ISLA LLICAN,TEODORO SCHMIDT,Lenguaje,3° Básico,564
6400,ESCUELA ISLA LLICAN,TEODORO SCHMIDT,Lenguaje,4° Básico,549
6407,ESCUELA NOHUALHUE,TEODORO SCHMIDT,Lenguaje,1° Básico,
6407,ESCUELA NOHUALHUE,TEODORO SCHMIDT,Lenguaje,2° Básico,673
6407,ESCUELA NOHUALHUE,TEODORO SCHMIDT,Lenguaje,3° Básico,617
6407,ESCUELA NOHUALHUE,TEODORO SCHMIDT,Lenguaje,4° Básico,567
6410,ESCUELA MALALHUE,TEODORO SCHMIDT,Lenguaje,1° Básico,
6410,ESCUELA MALALHUE,TEODORO SCHMIDT,Lenguaje,2° Básico,
6410,ESCUELA MALALHUE,TEODORO SCHMIDT,Lenguaje,3° Básico,
6410,ESCUELA MALALHUE,TEODORO SCHMIDT,Lenguaje,4° Básico,582
6411,ESCUELA PUYEHUE,TEODORO SCHMIDT,Lenguaje,1° Básico,574
6411,ESCUELA PUYEHUE,TEODORO SCHMIDT,Lenguaje,2° Básico,598
6411,ESCUELA PUYEHUE,TEODORO SCHMIDT,Lenguaje,3° Básico,634
6411,ESCUELA PUYEHUE,TEODORO SCHMIDT,Lenguaje,4° Básico,599
6413,ESCUELA DE RUCA-CURA,TEODORO SCHMIDT,Lenguaje,1° Básico,
6413,ESCUELA DE RUCA-CURA,TEODORO SCHMIDT,Lenguaje,2° Básico,
6413,ESCUELA DE RUCA-CURA,TEODORO SCHMIDT,Lenguaje,3° Básico,512
6413,ESCUELA DE RUCA-CURA,TEODORO SCHMIDT,Lenguaje,4° Básico,542
6415,ESCUELA LOS TRONCOS,TEODORO SCHMIDT,Lenguaje,1° Básico,
6415,ESCUELA LOS TRONCOS,TEODORO SCHMIDT,Lenguaje,2° Básico,568
6415,ESCUELA LOS TRONCOS,TEODORO SCHMIDT,Lenguaje,3° Básico,
6415,ESCUELA LOS TRONCOS,TEODORO SCHMIDT,Lenguaje,4° Básico,549
6452,LICEO REINO DE SUECIA,SAAVEDRA,Lenguaje,1° Básico,524
6452,LICEO REINO DE SUECIA,SAAVEDRA,Lenguaje,2° Básico,535
6452,LICEO REINO DE SUECIA,SAAVEDRA,Lenguaje,3° Básico,553
6452,LICEO REINO DE SUECIA,SAAVEDRA,Lenguaje,4° Básico,538
6454,ESCUELA BASICA COLLICO RANCO,SAAVEDRA,Lenguaje,1° Básico,533
6454,ESCUELA BASICA COLLICO RANCO,SAAVEDRA,Lenguaje,2° Básico,573
6454,ESCUELA BASICA COLLICO RANCO,SAAVEDRA,Lenguaje,3° Básico,538
6454,ESCUELA BASICA COLLICO RANCO,SAAVEDRA,Lenguaje,4° Básico,562
6455,ESCUELA BASICA BARTOLO LLANCALEO,SAAVEDRA,Lenguaje,1° Básico,548
6455,ESCUELA BASICA BARTOLO LLANCALEO,SAAVEDRA,Lenguaje,2° Básico,540
